egoid,vertex1,vertex2,wave
11148,676252,557043,1
11148,11148,467306,1
11148,140926,454202,1
11148,796262,989529,1
11148,454202,586674,1
11148,11148,796262,1
11148,454202,467306,1
11148,967737,140926,1
11148,796262,140926,1
11148,467306,557043,1
11148,796262,654075,1
11148,654075,140926,1
11148,654075,557043,1
11148,654075,676252,1
11148,454202,557043,1
11148,654075,586674,1
11148,497505,586674,1
11148,676252,454202,1
11148,654075,497505,1
11148,497505,467306,1
11148,11148,454202,1
11402,11402,414344,1
11402,11402,568818,1
11402,11402,622194,1
11402,11402,608524,1
11402,11402,980069,1
11402,11402,880730,1
11402,880730,568818,1
11402,980069,904898,1
11402,880730,980069,1
11402,980069,568818,1
11402,11402,571572,1
11402,880730,622194,1
11402,571572,904898,1
11402,880730,904898,1
11402,11402,904898,1
11402,414344,608524,1
11402,880730,571572,1
11402,980069,571572,1
11482,946161,758301,1
11482,889018,779097,1
11482,11482,752372,1
11482,11482,779097,1
11482,408742,231804,1
11482,11482,568361,1
11482,373187,758301,1
11482,11482,373187,1
11482,758301,779097,1
11482,231804,568361,1
11482,946161,889018,1
11482,373187,779097,1
11482,408742,889018,1
11482,408742,758301,1
11482,779097,752372,1
11482,11482,889018,1
11482,373187,752372,1
11482,946161,568361,1
11482,568361,758301,1
11482,946161,464911,1
11482,11482,231804,1
11482,11482,408742,1
11482,408742,946161,1
11482,568361,373187,1
11482,464911,373187,1
11482,408742,779097,1
11482,946161,752372,1
11482,889018,752372,1
11482,11482,758301,1
11482,11482,464911,1
11482,568361,752372,1
11482,889018,464911,1
11482,464911,568361,1
11482,408742,464911,1
11482,231804,889018,1
11482,408742,752372,1
11482,889018,568361,1
11482,946161,373187,1
11482,408742,373187,1
11482,946161,779097,1
11482,11482,946161,1
11482,758301,752372,1
11482,889018,758301,1
11482,568361,779097,1
11482,408742,568361,1
11910,11910,30453,1
11910,11910,265026,1
11910,30453,910752,1
11910,11910,115264,1
11910,11910,536253,1
11910,11910,910752,1
11910,11910,908239,1
11910,11910,331749,1
11910,30453,331749,1
11910,11910,998705,1
11910,11910,906227,1
11910,11910,604481,1
11910,11910,476265,1
11910,469554,321860,1
11910,476265,889602,1
11910,30453,553552,1
11910,331749,511769,1
11910,908239,265026,1
11910,536253,889602,1
11910,553552,910752,1
11910,889602,998705,1
11910,115264,604481,1
11910,906227,604481,1
11910,115264,889602,1
11910,11910,599685,1
11910,908239,604481,1
11910,30453,469554,1
11910,906227,265026,1
11910,469554,910752,1
11910,265026,476265,1
11910,331749,321860,1
11910,265026,536253,1
11910,331749,553552,1
11910,265026,115264,1
11910,908239,115264,1
11910,604481,889602,1
11910,553552,469554,1
11910,906227,476265,1
11910,265026,889602,1
11910,265026,604481,1
11910,908239,476265,1
11910,11910,511769,1
11910,469554,511769,1
11910,604481,536253,1
11910,553552,511769,1
11910,906227,115264,1
11910,30453,321860,1
11910,11910,321860,1
11910,536253,998705,1
11910,265026,998705,1
11910,910752,511769,1
11910,906227,599685,1
11910,115264,998705,1
11910,11910,889602,1
11910,11910,553552,1
11910,11910,469554,1
11910,906227,908239,1
11910,331749,910752,1
11910,553552,321860,1
11910,476265,599685,1
11910,908239,599685,1
11910,115264,536253,1
11910,604481,998705,1
11910,331749,469554,1
11910,906227,889602,1
11910,30453,511769,1
11910,910752,321860,1
11910,321860,511769,1
12156,12156,22989,1
12156,12156,474178,1
12156,12156,215503,1
12156,12156,710504,1
12156,12156,838798,1
12156,12156,371227,1
12156,12156,791434,1
12156,12156,736952,1
12156,12156,388106,1
12156,12156,796786,1
12156,12156,256455,1
12156,710504,256455,1
12156,736952,796786,1
12156,791434,710504,1
12156,215503,256455,1
12156,882227,736952,1
12156,882227,838798,1
12156,796786,215503,1
12156,710504,796786,1
12156,791434,215503,1
12156,474178,256455,1
12156,474178,796786,1
12156,882227,796786,1
12156,736952,474178,1
12156,791434,474178,1
12156,796786,256455,1
12156,838798,710504,1
12156,838798,256455,1
12156,474178,710504,1
12156,736952,710504,1
12156,838798,474178,1
12156,838798,796786,1
12156,710504,215503,1
12156,474178,215503,1
12156,838798,736952,1
12156,791434,796786,1
12156,12156,882227,1
12156,791434,256455,1
12738,12738,829672,1
12738,12738,678386,1
12738,678386,380862,1
12738,829672,273999,1
12738,829672,840082,1
12738,829672,417219,1
12738,273999,380862,1
12738,829672,380862,1
12738,380862,840082,1
12738,12738,273999,1
12738,829672,678386,1
12738,12738,840082,1
12738,417219,840082,1
12738,380862,417219,1
12738,273999,417219,1
12738,12738,417219,1
12738,12738,380862,1
12738,273999,678386,1
12748,764415,762772,1
12748,856599,762772,1
12748,611285,586198,1
12748,12748,856599,1
12748,12748,518942,1
12748,12748,638496,1
12748,638496,518942,1
12748,12748,866547,1
12748,12748,114706,1
12748,12748,586198,1
12748,856599,638496,1
12748,764415,518942,1
12748,762772,518942,1
12748,611285,518942,1
12748,12748,762772,1
12748,586198,518942,1
12748,12748,611285,1
12748,314444,518942,1
12748,764415,856599,1
12748,586198,638496,1
12748,12748,314444,1
12748,856599,518942,1
12748,12748,764415,1
13928,796476,28327,1
13928,28327,584304,1
13928,70566,97021,1
13928,97021,873171,1
13928,28327,921248,1
13928,70566,304403,1
13928,13928,70566,1
13928,13928,97021,1
13928,796476,70566,1
13928,28327,873171,1
13928,70566,28327,1
13928,796476,97021,1
13928,70566,645949,1
13928,13928,28327,1
13928,28327,97021,1
13928,28327,645949,1
13928,97021,921248,1
13928,97021,964720,1
13928,921248,444982,1
13928,859446,28327,1
13928,645949,964720,1
13928,873171,645949,1
13928,796476,921248,1
13928,28327,964720,1
13928,444982,827691,1
13928,13928,971701,1
13928,13928,827691,1
13928,873171,971701,1
13928,606338,971701,1
13928,374942,645949,1
13928,971701,444982,1
13928,796476,873171,1
13928,606338,444982,1
13928,827691,964720,1
13928,70566,873171,1
13928,28327,374942,1
13928,13928,304403,1
13928,70566,180973,1
13928,921248,304403,1
13928,971701,645949,1
13928,444982,304403,1
13928,584304,180973,1
13928,180973,964720,1
13928,70566,964720,1
13928,70566,606338,1
13928,859446,971701,1
13928,606338,921248,1
13928,921248,584304,1
13928,645949,180973,1
13928,70566,444982,1
13928,97021,584304,1
13928,97021,645949,1
13928,584304,964720,1
13928,796476,971701,1
13928,374942,304403,1
13928,971701,304403,1
13928,13928,873171,1
13928,584304,827691,1
13928,859446,964720,1
13928,859446,827691,1
13928,859446,444982,1
13928,873171,964720,1
13928,859446,97021,1
13928,873171,827691,1
13928,796476,964720,1
13928,70566,374942,1
13928,13928,606338,1
13928,28327,971701,1
13928,70566,584304,1
13928,921248,827691,1
13928,374942,971701,1
13928,304403,827691,1
13928,859446,645949,1
13928,374942,444982,1
13928,796476,584304,1
13928,374942,873171,1
13928,28327,827691,1
13928,97021,827691,1
13928,873171,180973,1
13928,859446,304403,1
13928,873171,584304,1
13928,28327,304403,1
13928,28327,180973,1
13928,921248,645949,1
13928,859446,584304,1
13928,70566,921248,1
13928,13928,796476,1
13928,796476,374942,1
13928,97021,304403,1
13928,796476,304403,1
13928,859446,921248,1
13928,921248,971701,1
13928,13928,374942,1
13928,873171,304403,1
13928,827691,180973,1
13928,374942,827691,1
13928,13928,444982,1
13928,796476,180973,1
13928,584304,444982,1
13928,873171,444982,1
13928,645949,304403,1
13928,13928,859446,1
13928,645949,444982,1
13928,70566,859446,1
13928,645949,827691,1
13928,13928,43255,1
13928,97021,444982,1
13928,921248,964720,1
13928,796476,645949,1
13928,859446,180973,1
13928,70566,971701,1
13928,28327,444982,1
13928,13928,645949,1
13928,70566,827691,1
13928,921248,180973,1
13928,13928,584304,1
13928,13928,921248,1
13928,873171,606338,1
13928,796476,606338,1
13928,859446,606338,1
13928,873171,921248,1
13928,796476,827691,1
13928,13928,180973,1
13928,97021,374942,1
13928,606338,304403,1
13928,374942,180973,1
13928,374942,921248,1
13928,859446,374942,1
13928,374942,606338,1
13928,796476,444982,1
13928,859446,873171,1
13928,796476,859446,1
13928,584304,304403,1
13928,584304,645949,1
